rank;season_start;season_end;team;nr_games;wins;stale;loss;goals_made;goals_against;saldo;points
 1;1956;1957;AFC Ajax;34;22; 5; 7; 64; 40; 24;49
 2;1956;1957;Fortuna '54;34;20; 5; 9; 76; 48; 28;45
 3;1956;1957;Sportclub Enschede;34;15;11; 8; 81; 47; 34;41
 4;1956;1957;MVV Maastricht;34;15;10; 9; 53; 42; 11;40
 5;1956;1957;PSV;34;18; 3;13; 93; 71; 22;39
 6;1956;1957;Feijenoord;34;15; 9;10; 79; 58; 21;39
 7;1956;1957;VVV-Venlo;34;16; 6;12; 50; 53; -3;38
 8;1956;1957;Sparta Rotterdam;34;12;12;10; 66; 59;  7;36
 9;1956;1957;NAC Breda;34;14; 8;12; 59; 61; -2;36
10;1956;1957;DOS Utrecht;34;17; 1;16; 79; 75;  4;35
11;1956;1957;Rapid JC Heerlen;34;13; 7;14; 64; 63;  1;33
12;1956;1957;NOAD Tilburg;34;12; 7;15; 54; 64;-10;31
13;1956;1957;BVC Amsterdam;34;11; 8;15; 49; 67;-18;30
14;1956;1957;Groninger VAV;34; 9;10;15; 52; 66;-14;28
15;1956;1957;BVV;34;11; 4;19; 70; 76; -6;26
16;1956;1957;USV Elinkwijk;34;10; 4;20; 52; 87;-35;24
17;1956;1957;Willem II;34; 8; 6;20; 59; 79;-20;22
18;1956;1957;SC Eindhoven;34; 8; 4;22; 39; 83;-44;20
 1;1957;1958;DOS Utrecht;34;19; 9; 6; 84; 52; 32;47
 2;1957;1958;Sportclub Enschede;34;19; 9; 6; 75; 48; 27;47
 3;1957;1958;AFC Ajax;34;17; 8; 9; 62; 44; 18;42
 4;1957;1958;Fortuna '54;34;16; 8;10; 72; 53; 19;40
 5;1957;1958;MVV Maastricht;34;15; 7;12; 57; 50;  7;37
 6;1957;1958;ADO Den Haag;34;14; 7;13; 68; 56; 12;35
 7;1957;1958;VVV-Venlo;34;14; 7;13; 61; 59;  2;35
 8;1957;1958;NAC Breda;34;15; 5;14; 69; 70; -1;35
 9;1957;1958;Sparta Rotterdam;34;11;12;11; 63; 62;  1;34
10;1957;1958;PSV;34;13; 6;15; 73; 70;  3;32
11;1957;1958;Feijenoord;34;13; 6;15; 74; 76; -2;32
12;1957;1958;Rapid JC Heerlen;34;13; 5;16; 56; 67;-11;31
13;1957;1958;Blauw Wit;34;11; 8;15; 56; 59; -3;30
14;1957;1958;BVC Amsterdam;34; 9;12;13; 54; 63; -9;30
15;1957;1958;NOAD Tilburg;34;11; 7;16; 50; 76;-26;29
16;1957;1958;Groninger VAV;34;10; 8;16; 58; 63; -5;28
17;1957;1958;USV Elinkwijk;34;10; 8;16; 47; 71;-24;28
18;1957;1958;BVV;34; 7; 6;21; 56; 96;-40;20
 1;1958;1959;Sparta Rotterdam;34;20;11; 3; 83; 30; 53;51
 2;1958;1959;Rapid JC Heerlen;34;20; 8; 6; 64; 34; 30;48
 3;1958;1959;Fortuna '54;34;17;10; 7; 56; 47;  9;44
 4;1958;1959;DOS Utrecht;34;17; 9; 8; 86; 46; 40;43
 5;1958;1959;Feijenoord;34;17; 7;10; 84; 54; 30;41
 6;1958;1959;AFC Ajax;34;15; 7;12; 77; 63; 14;37
 7;1958;1959;Sportclub Enschede;34;15; 7;12; 67; 59;  8;37
 8;1958;1959;MVV Maastricht;34;12;13; 9; 64; 59;  5;37
 9;1958;1959;VVV-Venlo;34;13;10;11; 71; 65;  6;36
10;1958;1959;PSV;34;12; 9;13; 61; 60;  1;33
11;1958;1959;NAC Breda;34;13; 6;15; 72; 72;  0;32
12;1958;1959;USV Elinkwijk;34;11; 8;15; 55; 57; -2;30
13;1958;1959;ADO Den Haag;34; 9;10;15; 63; 84;-21;28
14;1958;1959;Blauw Wit;34; 9; 8;17; 62; 79;-17;26
15;1958;1959;DWS Amsterdam;34; 8;10;16; 54; 80;-26;26
16;1958;1959;Willem II;34;10; 5;19; 60; 98;-38;25
17;1958;1959;NOAD Tilburg;34; 6; 8;20; 55; 90;-35;20
18;1958;1959;SHS;34; 7; 4;23; 54;111;-57;18
 1;1959;1960;AFC Ajax;34;22; 6; 6;109; 44; 65;50
 2;1959;1960;Feijenoord;34;20;10; 4; 94; 32; 62;50
 3;1959;1960;PSV;34;18; 9; 7; 72; 48; 24;45
 4;1959;1960;DOS Utrecht;34;18; 4;12; 75; 57; 18;40
 5;1959;1960;NAC Breda;34;15; 9;10; 56; 53;  3;39
 6;1959;1960;VVV-Venlo;34;12;12;10; 57; 60; -3;36
 7;1959;1960;Sparta Rotterdam;34;14; 6;14; 53; 52;  1;34
 8;1959;1960;Willem II;34;11;11;12; 65; 69; -4;33
 9;1959;1960;Sportclub Enschede;34;14; 4;16; 81; 76;  5;32
10;1959;1960;DWS Amsterdam;34;13; 6;15; 51; 59; -8;32
11;1959;1960;Rapid JC Heerlen;34;10;12;12; 46; 55; -9;32
12;1959;1960;ADO Den Haag;34;13; 5;16; 62; 68; -6;31
13;1959;1960;MVV Maastricht;34;13; 5;16; 60; 69; -9;31
14;1959;1960;Fortuna '54;34;11; 8;15; 67; 81;-14;30
15;1959;1960;USV Elinkwijk;34; 9;11;14; 37; 48;-11;29
16;1959;1960;Blauw Wit;34;12; 5;17; 53; 82;-29;29
17;1959;1960;FC Volendam;34;10; 3;21; 54; 88;-34;23
18;1959;1960;Sittardia;34; 5; 6;23; 40; 91;-51;16
 1;1960;1961;Feijenoord;34;24; 5; 5;100; 40; 60;53
 2;1960;1961;AFC Ajax;34;22; 7; 5;102; 51; 51;51
 3;1960;1961;VVV-Venlo;34;18; 6;10; 77; 47; 30;42
 4;1960;1961;Sparta Rotterdam;34;16; 9; 9; 71; 54; 17;41
 5;1960;1961;DOS Utrecht;34;15; 9;10; 71; 49; 22;39
 6;1960;1961;Groninger VAV;34;15; 8;11; 57; 51;  6;38
 7;1960;1961;PSV;34;14; 9;11; 74; 59; 15;37
 8;1960;1961;DWS Amsterdam;34;11;13;10; 59; 49; 10;35
 9;1960;1961;NAC Breda;34;15; 4;15; 59; 64; -5;34
10;1960;1961;Willem II;34;13; 6;15; 53; 71;-18;32
11;1960;1961;ADO Den Haag;34;15; 2;17; 59; 78;-19;32
12;1960;1961;Sportclub Enschede;34;12; 6;16; 52; 63;-11;30
13;1960;1961;Rapid JC Heerlen;34;11; 7;16; 42; 54;-12;29
14;1960;1961;MVV Maastricht;34;10; 8;16; 45; 70;-25;28
15;1960;1961;Fortuna '54;34; 8;10;16; 52; 69;-17;26
16;1960;1961;USV Elinkwijk;34;11; 3;20; 43; 72;-29;25
17;1960;1961;VV Alkmaar '54;34; 6;12;16; 39; 61;-22;24
18;1960;1961;NOAD Tilburg;34; 4; 8;22; 28; 81;-53;16
 1;1961;1962;Feijenoord;34;20;10; 4; 88; 35; 53;50
 2;1961;1962;PSV;34;21; 7; 6; 85; 43; 42;49
 3;1961;1962;Blauw Wit;34;16; 9; 9; 71; 54; 17;41
 4;1961;1962;AFC Ajax;34;16; 7;11; 80; 59; 21;39
 5;1961;1962;NAC Breda;34;15; 8;11; 60; 49; 11;38
 6;1961;1962;MVV Maastricht;34;12;12;10; 55; 46;  9;36
 7;1961;1962;FC Volendam;34;15; 4;15; 69; 76; -7;34
 8;1961;1962;Willem II;34;14; 5;15; 63; 52; 11;33
 9;1961;1962;Sparta Rotterdam;34;12; 9;13; 46; 50; -4;33
10;1961;1962;DOS Utrecht;34;10;12;12; 61; 62; -1;32
11;1961;1962;De Volewijckers;34;13; 6;15; 68; 87;-19;32
12;1961;1962;Fortuna '54;34;11; 9;14; 57; 61; -4;31
13;1961;1962;Groninger VAV;34; 8;14;12; 48; 61;-13;30
14;1961;1962;Sportclub Enschede;34;11; 8;15; 55; 69;-14;30
15;1961;1962;ADO Den Haag;34; 9;11;14; 58; 69;-11;29
16;1961;1962;DWS Amsterdam;34; 7;14;13; 38; 63;-25;28
17;1961;1962;VVV-Venlo;34;10; 7;17; 38; 62;-24;27
18;1961;1962;Rapid JC Heerlen;34; 6; 8;20; 35; 77;-42;20
 1;1962;1963;PSV;30;17; 8; 5; 67; 38; 29;42
 2;1962;1963;AFC Ajax;30;17; 5; 8; 73; 41; 32;39
 3;1962;1963;Sparta Rotterdam;30;17; 5; 8; 60; 38; 22;39
 4;1962;1963;Feyenoord;30;14; 9; 7; 58; 40; 18;37
 5;1962;1963;FC Twente;30;12; 9; 9; 58; 46; 12;33
 6;1962;1963;NAC Breda;30;11;10; 9; 51; 48;  3;32
 7;1962;1963;FC Utrecht;30;13; 6;11; 37; 44; -7;32
 8;1962;1963;FC Groningen;30;12; 6;12; 52; 47;  5;30
 9;1962;1963;MVV Maastricht;30;11; 7;12; 45; 49; -4;29
10;1962;1963;ADO Den Haag;30; 9;10;11; 41; 36;  5;28
11;1962;1963;Blauw Wit;30;12; 4;14; 48; 56; -8;28
12;1962;1963;Fortuna '54;30;12; 4;14; 44; 54;-10;28
13;1962;1963;FC Volendam;30; 8;11;11; 50; 53; -3;27
14;1962;1963;Heracles Almelo;30; 9; 8;13; 54; 62; -8;26
15;1962;1963;Willem II;30; 7; 8;15; 53; 68;-15;22
16;1962;1963;De Volewijckers;30; 2; 4;24; 31;102;-71; 8
 1;1963;1964;AFC DWS;30;19; 5; 6; 58; 28; 30;43
 2;1963;1964;PSV;30;18; 5; 7; 66; 42; 24;41
 3;1963;1964;FC Twente;30;14;11; 5; 63; 45; 18;39
 4;1963;1964;Feyenoord;30;16; 5; 9; 77; 33; 44;37
 5;1963;1964;AFC Ajax;30;13; 8; 9; 63; 40; 23;34
 6;1963;1964;NAC Breda;30;14; 6;10; 56; 53;  3;34
 7;1963;1964;Fortuna '54;30;10;10;10; 50; 48;  2;30
 8;1963;1964;FC Groningen;30;11; 8;11; 46; 45;  1;30
